year,global_avg_temp,year,city,country,city_avg_temp
1750,8.72,1750,Berlin,Germany,9.83
1751,7.98,1751,Berlin,Germany,9.75
1752,5.78,1752,Berlin,Germany,4.84
1753,8.39,1753,Berlin,Germany,8.72
1754,8.47,1754,Berlin,Germany,8.49
1755,8.36,1755,Berlin,Germany,8.26
1756,8.85,1756,Berlin,Germany,9.62
1757,9.02,1757,Berlin,Germany,9.15
1758,6.74,1758,Berlin,Germany,8.25
1759,7.99,1759,Berlin,Germany,9.04
1760,7.19,1760,Berlin,Germany,8.99
1761,8.77,1761,Berlin,Germany,9.47
1762,8.61,1762,Berlin,Germany,8.53
1763,7.50,1763,Berlin,Germany,8.62
1764,8.40,1764,Berlin,Germany,8.91
1765,8.25,1765,Berlin,Germany,8.54
1766,8.41,1766,Berlin,Germany,8.87
1767,8.22,1767,Berlin,Germany,8.14
1768,6.78,1768,Berlin,Germany,8.03
1769,7.69,1769,Berlin,Germany,8.46
1770,7.69,1770,Berlin,Germany,8.50
1771,7.85,1771,Berlin,Germany,7.45
1772,8.19,1772,Berlin,Germany,9.13
1773,8.22,1773,Berlin,Germany,9.52
1774,8.77,1774,Berlin,Germany,8.46
1775,9.18,1775,Berlin,Germany,10.10
1776,8.30,1776,Berlin,Germany,8.36
1777,8.26,1777,Berlin,Germany,8.29
1778,8.54,1778,Berlin,Germany,9.43
1779,8.98,1779,Berlin,Germany,10.47
1780,9.43,1780,Berlin,Germany,8.78
1781,8.10,1781,Berlin,Germany,9.98
1782,7.90,1782,Berlin,Germany,8.61
1783,7.68,1783,Berlin,Germany,9.76
1784,7.86,1784,Berlin,Germany,7.67
1785,7.36,1785,Berlin,Germany,7.42
1786,8.26,1786,Berlin,Germany,7.68
1787,8.03,1787,Berlin,Germany,9.27
1788,8.45,1788,Berlin,Germany,8.33
1789,8.33,1789,Berlin,Germany,8.99
1790,7.98,1790,Berlin,Germany,9.09
1791,8.23,1791,Berlin,Germany,9.55
1792,8.09,1792,Berlin,Germany,8.90
1793,8.23,1793,Berlin,Germany,9.18
1794,8.53,1794,Berlin,Germany,10.02
1795,8.35,1795,Berlin,Germany,8.87
1796,8.27,1796,Berlin,Germany,9.01
1797,8.51,1797,Berlin,Germany,10.07
1798,8.67,1798,Berlin,Germany,9.33
1799,8.51,1799,Berlin,Germany,6.72
1800,8.48,1800,Berlin,Germany,8.60
1801,8.59,1801,Berlin,Germany,9.61
1802,8.58,1802,Berlin,Germany,9.08
1803,8.50,1803,Berlin,Germany,8.02
1804,8.84,1804,Berlin,Germany,8.36
1805,8.56,1805,Berlin,Germany,7.20
1806,8.43,1806,Berlin,Germany,9.67
1807,8.28,1807,Berlin,Germany,9.42
1808,7.63,1808,Berlin,Germany,8.15
1809,7.08,1809,Berlin,Germany,8.66
1810,6.92,1810,Berlin,Germany,8.46
1811,6.86,1811,Berlin,Germany,9.93
1812,7.05,1812,Berlin,Germany,7.35
1813,7.74,1813,Berlin,Germany,8.66
1814,7.59,1814,Berlin,Germany,7.46
1815,7.24,1815,Berlin,Germany,8.38
1816,6.94,1816,Berlin,Germany,7.75
1817,6.98,1817,Berlin,Germany,8.92
1818,7.83,1818,Berlin,Germany,9.00
1819,7.37,1819,Berlin,Germany,9.43
1820,7.62,1820,Berlin,Germany,7.86
1821,8.09,1821,Berlin,Germany,9.15
1822,8.19,1822,Berlin,Germany,10.05
1823,7.72,1823,Berlin,Germany,8.26
1824,8.55,1824,Berlin,Germany,9.61
1825,8.39,1825,Berlin,Germany,9.32
1826,8.36,1826,Berlin,Germany,9.35
1827,8.81,1827,Berlin,Germany,8.99
1828,8.17,1828,Berlin,Germany,8.94
1829,7.94,1829,Berlin,Germany,6.52
1830,8.52,1830,Berlin,Germany,8.08
1831,7.64,1831,Berlin,Germany,8.93
1832,7.45,1832,Berlin,Germany,8.34
1833,8.01,1833,Berlin,Germany,8.89
1834,8.15,1834,Berlin,Germany,10.40
1835,7.39,1835,Berlin,Germany,8.81
1836,7.70,1836,Berlin,Germany,8.88
1837,7.38,1837,Berlin,Germany,8.12
1838,7.51,1838,Berlin,Germany,6.98
1839,7.63,1839,Berlin,Germany,8.63
1840,7.80,1840,Berlin,Germany,7.74
1841,7.69,1841,Berlin,Germany,9.06
1842,8.02,1842,Berlin,Germany,8.51
1843,8.17,1843,Berlin,Germany,9.18
1844,7.65,1844,Berlin,Germany,7.85
1845,7.85,1845,Berlin,Germany,7.92
1846,8.55,1846,Berlin,Germany,9.84
1847,8.09,1847,Berlin,Germany,8.24
1848,7.98,1848,Berlin,Germany,8.75
1849,7.98,1849,Berlin,Germany,8.03
1850,7.90,1850,Berlin,Germany,8.20
1851,8.18,1851,Berlin,Germany,8.50
1852,8.10,1852,Berlin,Germany,9.54
1853,8.04,1853,Berlin,Germany,7.55
1854,8.21,1854,Berlin,Germany,8.69
1855,8.11,1855,Berlin,Germany,7.07
1856,8.00,1856,Berlin,Germany,8.50
1857,7.76,1857,Berlin,Germany,9.39
1858,8.10,1858,Berlin,Germany,7.97
1859,8.25,1859,Berlin,Germany,9.60
1860,7.96,1860,Berlin,Germany,8.00
1861,7.85,1861,Berlin,Germany,8.87
1862,7.56,1862,Berlin,Germany,8.91
1863,8.11,1863,Berlin,Germany,9.81
1864,7.98,1864,Berlin,Germany,6.99
1865,8.18,1865,Berlin,Germany,8.88
1866,8.29,1866,Berlin,Germany,9.44
1867,8.44,1867,Berlin,Germany,8.41
1868,8.25,1868,Berlin,Germany,10.24
1869,8.43,1869,Berlin,Germany,9.06
1870,8.20,1870,Berlin,Germany,7.57
1871,8.12,1871,Berlin,Germany,7.08
1872,8.19,1872,Berlin,Germany,9.97
1873,8.35,1873,Berlin,Germany,9.27
1874,8.43,1874,Berlin,Germany,9.08
1875,7.86,1875,Berlin,Germany,8.04
1876,8.08,1876,Berlin,Germany,8.64
1877,8.54,1877,Berlin,Germany,8.95
1878,8.83,1878,Berlin,Germany,9.38
1879,8.17,1879,Berlin,Germany,7.46
1880,8.12,1880,Berlin,Germany,9.08
1881,8.27,1881,Berlin,Germany,7.75
1882,8.13,1882,Berlin,Germany,9.28
1883,7.98,1883,Berlin,Germany,8.54
1884,7.77,1884,Berlin,Germany,9.20
1885,7.92,1885,Berlin,Germany,8.47
1886,7.95,1886,Berlin,Germany,8.55
1887,7.91,1887,Berlin,Germany,7.93
1888,8.09,1888,Berlin,Germany,7.61
1889,8.32,1889,Berlin,Germany,8.34
1890,7.97,1890,Berlin,Germany,8.35
1891,8.02,1891,Berlin,Germany,8.48
1892,8.07,1892,Berlin,Germany,8.28
1893,8.06,1893,Berlin,Germany,8.50
1894,8.16,1894,Berlin,Germany,8.96
1895,8.15,1895,Berlin,Germany,8.28
1896,8.21,1896,Berlin,Germany,8.57
1897,8.29,1897,Berlin,Germany,8.69
1898,8.18,1898,Berlin,Germany,9.42
1899,8.40,1899,Berlin,Germany,8.96
1900,8.50,1900,Berlin,Germany,9.16
1901,8.54,1901,Berlin,Germany,8.58
1902,8.30,1902,Berlin,Germany,7.63
1903,8.22,1903,Berlin,Germany,9.28
1904,8.09,1904,Berlin,Germany,9.15
1905,8.23,1905,Berlin,Germany,8.90
1906,8.38,1906,Berlin,Germany,9.31
1907,7.95,1907,Berlin,Germany,8.52
1908,8.19,1908,Berlin,Germany,8.35
1909,8.18,1909,Berlin,Germany,8.16
1910,8.22,1910,Berlin,Germany,9.33
1911,8.18,1911,Berlin,Germany,9.89
1912,8.17,1912,Berlin,Germany,8.49
1913,8.30,1913,Berlin,Germany,9.41
1914,8.59,1914,Berlin,Germany,9.50
1915,8.59,1915,Berlin,Germany,8.56
1916,8.23,1916,Berlin,Germany,9.30
1917,8.02,1917,Berlin,Germany,8.39
1918,8.13,1918,Berlin,Germany,9.42
1919,8.38,1919,Berlin,Germany,8.00
1920,8.36,1920,Berlin,Germany,9.37
1921,8.57,1921,Berlin,Germany,9.78
1922,8.41,1922,Berlin,Germany,7.76
1923,8.42,1923,Berlin,Germany,8.58
1924,8.51,1924,Berlin,Germany,8.30
1925,8.53,1925,Berlin,Germany,9.32
1926,8.73,1926,Berlin,Germany,9.57
1927,8.52,1927,Berlin,Germany,8.72
1928,8.63,1928,Berlin,Germany,8.92
1929,8.24,1929,Berlin,Germany,7.99
1930,8.63,1930,Berlin,Germany,9.48
1931,8.72,1931,Berlin,Germany,8.35
1932,8.71,1932,Berlin,Germany,9.23
1933,8.34,1933,Berlin,Germany,8.32
1934,8.63,1934,Berlin,Germany,10.69
1935,8.52,1935,Berlin,Germany,9.34
1936,8.55,1936,Berlin,Germany,9.30
1937,8.70,1937,Berlin,Germany,9.41
1938,8.86,1938,Berlin,Germany,9.77
1939,8.76,1939,Berlin,Germany,9.32
1940,8.76,1940,Berlin,Germany,7.04
1941,8.77,1941,Berlin,Germany,7.62
1942,8.73,1942,Berlin,Germany,7.80
1943,8.76,1943,Berlin,Germany,9.67
1944,8.85,1944,Berlin,Germany,9.31
1945,8.58,1945,Berlin,Germany,9.64
1946,8.68,1946,Berlin,Germany,9.12
1947,8.80,1947,Berlin,Germany,8.79
1948,8.75,1948,Berlin,Germany,9.96
1949,8.59,1949,Berlin,Germany,10.04
1950,8.37,1950,Berlin,Germany,9.37
1951,8.63,1951,Berlin,Germany,9.72
1952,8.64,1952,Berlin,Germany,8.61
1953,8.87,1953,Berlin,Germany,10.13
1954,8.56,1954,Berlin,Germany,8.41
1955,8.63,1955,Berlin,Germany,8.36
1956,8.28,1956,Berlin,Germany,7.57
1957,8.73,1957,Berlin,Germany,9.46
1958,8.77,1958,Berlin,Germany,9.05
1959,8.73,1959,Berlin,Germany,9.88
1960,8.58,1960,Berlin,Germany,9.22
1961,8.80,1961,Berlin,Germany,9.81
1962,8.75,1962,Berlin,Germany,8.13
1963,8.86,1963,Berlin,Germany,8.12
1964,8.41,1964,Berlin,Germany,8.84
1965,8.53,1965,Berlin,Germany,8.33
1966,8.60,1966,Berlin,Germany,9.34
1967,8.70,1967,Berlin,Germany,10.08
1968,8.52,1968,Berlin,Germany,9.28
1969,8.60,1969,Berlin,Germany,8.43
1970,8.70,1970,Berlin,Germany,8.43
1971,8.60,1971,Berlin,Germany,9.54
1972,8.50,1972,Berlin,Germany,8.88
1973,8.95,1973,Berlin,Germany,9.24
1974,8.47,1974,Berlin,Germany,9.89
1975,8.74,1975,Berlin,Germany,10.08
1976,8.35,1976,Berlin,Germany,9.15
1977,8.85,1977,Berlin,Germany,9.54
1978,8.69,1978,Berlin,Germany,8.86
1979,8.73,1979,Berlin,Germany,8.53
1980,8.98,1980,Berlin,Germany,8.26
1981,9.17,1981,Berlin,Germany,9.18
1982,8.64,1982,Berlin,Germany,10.08
1983,9.03,1983,Berlin,Germany,10.21
1984,8.69,1984,Berlin,Germany,8.94
1985,8.66,1985,Berlin,Germany,8.46
1986,8.83,1986,Berlin,Germany,8.78
1987,8.99,1987,Berlin,Germany,8.09
1988,9.20,1988,Berlin,Germany,10.02
1989,8.92,1989,Berlin,Germany,10.72
1990,9.23,1990,Berlin,Germany,10.71
1991,9.18,1991,Berlin,Germany,9.36
1992,8.84,1992,Berlin,Germany,10.38
1993,8.87,1993,Berlin,Germany,9.34
1994,9.04,1994,Berlin,Germany,10.43
1995,9.35,1995,Berlin,Germany,9.75
1996,9.04,1996,Berlin,Germany,7.88
1997,9.20,1997,Berlin,Germany,9.73
1998,9.52,1998,Berlin,Germany,10.05
1999,9.29,1999,Berlin,Germany,10.58
2000,9.20,2000,Berlin,Germany,10.96
2001,9.41,2001,Berlin,Germany,9.69
2002,9.57,2002,Berlin,Germany,10.26
2003,9.53,2003,Berlin,Germany,10.07
2004,9.32,2004,Berlin,Germany,9.82
2005,9.70,2005,Berlin,Germany,9.92
2006,9.53,2006,Berlin,Germany,10.55
2007,9.73,2007,Berlin,Germany,10.88
2008,9.43,2008,Berlin,Germany,10.66
2009,9.51,2009,Berlin,Germany,10.06
2010,9.70,2010,Berlin,Germany,8.61
2011,9.52,2011,Berlin,Germany,10.56
2012,9.51,2012,Berlin,Germany,9.96
2013,9.61,2013,Berlin,Germany,10.12
